model_id,timing_mode,checkpoint_id,target_id,n_forecasts,RMSE,MAE,bias,relative_RMSFE,DM_test,sign_accuracy,convergence_rate,mean_iterations,mean_llf_relative_last_improvement,median_llf_relative_last_improvement,max_llf_relative_last_improvement,mean_numerical_guard_event_count,max_numerical_guard_event_count
no_revision,pseudo,pre_second,S,79,0.5696627235545563,0.3997025316455696,-0.0657987341772151,0.0820589523663922,0.1554026466179592,0.9620253164556962,1.0,0.0,,,,0.0,0.0
indicator_revision_only_dfm_kalman_em,pseudo,pre_second,S,79,0.5976291474942136,0.4654943102161308,-0.0172414422254794,0.0860874684602716,0.1557148258615045,0.9746835443037974,1.0,30.367088607594937,9.21712356868063e-05,9.287026954974816e-05,9.958412568943588e-05,0.0,0.0
revision_dfm_kalman_em,pseudo,pre_second,S,79,0.6320815561970182,0.448368149028374,0.065960649206308,0.0910502796953307,0.1557986364564194,0.9620253164556962,1.0,34.67088607594937,9.559117144524185e-05,9.618218682141733e-05,9.9984314267327e-05,0.0,0.0
release_dfm,pseudo,pre_second,S,79,0.6626124334035719,0.4556607449820259,-0.0126126474276824,0.0954482009473377,0.1559521424356972,0.9746835443037974,1.0,0.0,,,,0.0,0.0
joint_indicator_revision_dfm_full_kalman_em,pseudo,pre_second,S,79,0.6638321295288722,0.4912688942580796,0.0198131604912693,0.0956238961124048,0.1563631496220158,0.9873417721518988,1.0,31.70886075949367,9.049006299849198e-05,9.059955096485514e-05,9.990929574622046e-05,0.0,0.0
monthly_mixed_frequency_kalman_em,pseudo,pre_second,S,79,0.6987496749217682,0.4535711280586722,0.0838168040583745,0.1006537095014014,0.1566022563346616,0.9746835443037974,1.0,39.45569620253165,9.703038352007484e-05,9.715680947839254e-05,9.999453758722467e-05,0.0,0.0
spf,pseudo,pre_second,S,79,2.3374416593545337,1.447506329113924,-0.033232911392405,0.3367045198031556,0.1749955397615802,0.9240506329113924,1.0,0.0,,,,0.0,0.0
standard_dfm,pseudo,pre_second,S,79,3.036026101767458,1.70838460952175,0.4309040740688657,0.4373344278409682,0.2009085766864677,0.9240506329113924,1.0,0.0,,,,0.0,0.0
bridge,pseudo,pre_second,S,79,4.542167880186523,2.069129516390108,-0.0561920369722996,0.654291605030195,0.1916852752037389,0.9113924050632912,1.0,0.0,,,,0.0,0.0
midas_umidas,pseudo,pre_second,S,79,4.7627716394170765,2.056091631829284,0.3916317728813315,0.6860692036373003,0.2949752830466327,0.8734177215189873,1.0,0.0,,,,0.0,0.0
ar,pseudo,pre_second,S,79,6.942115480721942,2.4901407735357477,0.042512275116617,1.0,1.0,0.8987341772151899,1.0,0.0,,,,0.0,0.0
no_revision,pseudo,pre_third,T,80,0.3621867125530698,0.2402725,-0.0484925,0.0528438842823974,0.1487243773879313,1.0,1.0,0.0,,,,0.0,0.0
indicator_revision_only_dfm_kalman_em,pseudo,pre_third,T,80,0.3697005237431149,0.2414158673565372,-0.0484698477905532,0.0539401668219959,0.1487689330309727,1.0,1.0,30.7375,9.196325766577144e-05,9.357139112497868e-05,9.990899557913592e-05,0.0,0.0
revision_dfm_kalman_em,pseudo,pre_third,T,80,0.3711892830928185,0.2437559196006765,-0.0396963344146635,0.0541573802759228,0.1487846431231067,1.0,1.0,34.3,9.541152825951004e-05,9.601592118715175e-05,9.995555750809928e-05,0.0,0.0
joint_indicator_revision_dfm_full_kalman_em,pseudo,pre_third,T,80,0.3724001668270641,0.2469441704552898,-0.0411387360314275,0.0543340510308516,0.1487922436734129,1.0,1.0,31.5125,9.143457775560783e-05,9.260864674664652e-05,9.99572538723418e-05,0.0,0.0
monthly_mixed_frequency_kalman_em,pseudo,pre_third,T,80,0.3763012586503951,0.2578960672677968,0.0096795159339667,0.0549032294069271,0.1488170692777368,1.0,1.0,38.9875,9.726371888907196e-05,9.768075350998612e-05,9.994810030927345e-05,0.0,0.0
release_dfm,pseudo,pre_third,T,80,0.4447196681235479,0.2943689263300069,-0.0267416423428477,0.0648856345799364,0.14929293574749,1.0,1.0,0.0,,,,0.0,0.0
spf,pseudo,pre_third,T,80,2.380187605841187,1.481165,-0.0809825000000001,0.3472749111276093,0.1707967407961682,0.925,1.0,0.0,,,,0.0,0.0
standard_dfm,pseudo,pre_third,T,80,3.065249493169764,1.7621663144237174,0.4110387453503057,0.4472270348405068,0.198056248568526,0.8875,1.0,0.0,,,,0.0,0.0
bridge,pseudo,pre_third,T,80,4.398694165093339,2.023836204423721,-0.0372443919640485,0.6417797158138154,0.1845357697294485,0.9,1.0,0.0,,,,0.0,0.0
midas_umidas,pseudo,pre_third,T,80,6.186914482958172,2.466880937795282,0.3828185062852088,0.9026852219340462,0.3847185977533838,0.875,1.0,0.0,,,,0.0,0.0
ar,pseudo,pre_third,T,80,6.853900266254954,2.504536216607909,0.0681353139193999,1.0,1.0,0.9,1.0,0.0,,,,0.0,0.0
