date,BOPTEXP_20100413,BOPTEXP_20100512,BOPTEXP_20100610,BOPTEXP_20100713,BOPTEXP_20100811,BOPTEXP_20100909,BOPTEXP_20101014,BOPTEXP_20101110,BOPTEXP_20101210,BOPTEXP_20110113,BOPTEXP_20110211,BOPTEXP_20110310,BOPTEXP_20110412,BOPTEXP_20110511,BOPTEXP_20110609,BOPTEXP_20110712,BOPTEXP_20110811,BOPTEXP_20110908,BOPTEXP_20111013,BOPTEXP_20111110,BOPTEXP_20111209,BOPTEXP_20120113,BOPTEXP_20120210,BOPTEXP_20120309,BOPTEXP_20120412,BOPTEXP_20120510,BOPTEXP_20120608,BOPTEXP_20120711,BOPTEXP_20120809,BOPTEXP_20120911,BOPTEXP_20121011,BOPTEXP_20121108,BOPTEXP_20121211,BOPTEXP_20130111,BOPTEXP_20130208,BOPTEXP_20130307,BOPTEXP_20130405,BOPTEXP_20130502,BOPTEXP_20130604,BOPTEXP_20130703,BOPTEXP_20130806,BOPTEXP_20130904,BOPTEXP_20131024,BOPTEXP_20131114,BOPTEXP_20131204,BOPTEXP_20140107,BOPTEXP_20140206,BOPTEXP_20140307,BOPTEXP_20140403,BOPTEXP_20140506,BOPTEXP_20140604,BOPTEXP_20140703,BOPTEXP_20140806,BOPTEXP_20140904,BOPTEXP_20141003,BOPTEXP_20141104,BOPTEXP_20141205,BOPTEXP_20150107,BOPTEXP_20150205,BOPTEXP_20150306,BOPTEXP_20150402,BOPTEXP_20150505,BOPTEXP_20150603,BOPTEXP_20150707,BOPTEXP_20150805,BOPTEXP_20150903,BOPTEXP_20151006,BOPTEXP_20151104,BOPTEXP_20151204,BOPTEXP_20160106,BOPTEXP_20160205,BOPTEXP_20160304,BOPTEXP_20160405,BOPTEXP_20160504,BOPTEXP_20160603,BOPTEXP_20160706,BOPTEXP_20160805,BOPTEXP_20160902,BOPTEXP_20161005,BOPTEXP_20161104,BOPTEXP_20161206,BOPTEXP_20170106,BOPTEXP_20170207,BOPTEXP_20170307,BOPTEXP_20170404,BOPTEXP_20170504,BOPTEXP_20170602,BOPTEXP_20170706,BOPTEXP_20170804,BOPTEXP_20170906,BOPTEXP_20171005,BOPTEXP_20171103,BOPTEXP_20171205,BOPTEXP_20180105,BOPTEXP_20180206,BOPTEXP_20180307,BOPTEXP_20180405,BOPTEXP_20180503,BOPTEXP_20180606,BOPTEXP_20180706,BOPTEXP_20180803,BOPTEXP_20180905,BOPTEXP_20181005,BOPTEXP_20181102,BOPTEXP_20181206,BOPTEXP_20190206,BOPTEXP_20190306,BOPTEXP_20190327,BOPTEXP_20190417,BOPTEXP_20190509,BOPTEXP_20190606,BOPTEXP_20190703,BOPTEXP_20190802,BOPTEXP_20190904,BOPTEXP_20191004,BOPTEXP_20191105,BOPTEXP_20191205,BOPTEXP_20200107,BOPTEXP_20200205,BOPTEXP_20200306,BOPTEXP_20200402,BOPTEXP_20200604,BOPTEXP_20200702,BOPTEXP_20200805,BOPTEXP_20200903,BOPTEXP_20201006,BOPTEXP_20201104,BOPTEXP_20201204,BOPTEXP_20210107,BOPTEXP_20210205,BOPTEXP_20210305,BOPTEXP_20210407,BOPTEXP_20210504,BOPTEXP_20210608,BOPTEXP_20210702,BOPTEXP_20210805,BOPTEXP_20210902,BOPTEXP_20211005,BOPTEXP_20211104,BOPTEXP_20211207,BOPTEXP_20220106,BOPTEXP_20220208,BOPTEXP_20220308,BOPTEXP_20220405,BOPTEXP_20220504,BOPTEXP_20220607,BOPTEXP_20220707,BOPTEXP_20220804,BOPTEXP_20220907,BOPTEXP_20221005,BOPTEXP_20221103,BOPTEXP_20221206,BOPTEXP_20230105,BOPTEXP_20230207,BOPTEXP_20230308,BOPTEXP_20230405,BOPTEXP_20230504,BOPTEXP_20230607,BOPTEXP_20230706,BOPTEXP_20230808,BOPTEXP_20230906,BOPTEXP_20231005,BOPTEXP_20231107,BOPTEXP_20231206,BOPTEXP_20240109,BOPTEXP_20240207,BOPTEXP_20240307,BOPTEXP_20240404,BOPTEXP_20240502,BOPTEXP_20240606,BOPTEXP_20240703,BOPTEXP_20240806,BOPTEXP_20240904,BOPTEXP_20241008,BOPTEXP_20241105,BOPTEXP_20241205,BOPTEXP_20250107,BOPTEXP_20250205,BOPTEXP_20250306,BOPTEXP_20250403,BOPTEXP_20250506,BOPTEXP_20250605,BOPTEXP_20250703,BOPTEXP_20250805,BOPTEXP_20250904,BOPTEXP_20251119,BOPTEXP_20251211,BOPTEXP_20260108,BOPTEXP_20260129,BOPTEXP_20260219,BOPTEXP_20260312,BOPTEXP_20260402
1993-09-01,53648,53648,53648,53648,53648,53648,53648,53648,53648,53648,53648,53648,53648,53648,53648,53648,53648,53648,53648,53648,53648,53648,53648,53648,53648,53648,53648,53648,53648,53648,53648,53648,53648,53648,53648,53648,53648,53648,53648,53648,53648,53648,53648,53648,53648,53648,53648,53648,53648,53648,53648,53648,53648,53648,53648,53648,53648,53648,53648,53648,53648,53648,53648,53648,53648,53648,53648,53648,53648,53648,53648,53648,53648,53648,53648,53648,53648,53648,53648,53648,53648,53648,53648,53648,53648,53648,53648,53648,53648,53648,53648,53648,53648,53648,53648,53648,53648,53648,53648,53648,53648,53648,53648,53648,53648,53648,53648,53648,53648,53648,53648,53648,53648,53648,53648,53648,53648,53648,53648,53648,53648,53648,53648,53648,53648,53648,53648,53648,53648,53648,53648,53648,53648,53648,53648,53648,53648,53648,53648,53648,53648,53648,53648,53648,53648,53648,53648,53648,53648,53648,53648,53648,53648,53648,53648,53648,53648,53648,53648,53648,53648,53648,53648,53648,53648,53648,53648,53648,53648,53648,53648,53648,53648,53648,53648,53648,53648,53648,53648,53648,53648,53648,53648,53648,53648,53648,53648,53648,53648,53648,53648,53648
1993-10-01,55476,55476,55476,55476,55476,55476,55476,55476,55476,55476,55476,55476,55476,55476,55476,55476,55476,55476,55476,55476,55476,55476,55476,55476,55476,55476,55476,55476,55476,55476,55476,55476,55476,55476,55476,55476,55476,55476,55476,55476,55476,55476,55476,55476,55476,55476,55476,55476,55476,55476,55476,55476,55476,55476,55476,55476,55476,55476,55476,55476,55476,55476,55476,55476,55476,55476,55476,55476,55476,55476,55476,55476,55476,55476,55476,55476,55476,55476,55476,55476,55476,55476,55476,55476,55476,55476,55476,55476,55476,55476,55476,55476,55476,55476,55476,55476,55476,55476,55476,55476,55476,55476,55476,55476,55476,55476,55476,55476,55476,55476,55476,55476,55476,55476,55476,55476,55476,55476,55476,55476,55476,55476,55476,55476,55476,55476,55476,55476,55476,55476,55476,55476,55476,55476,55476,55476,55476,55476,55476,55476,55476,55476,55476,55476,55476,55476,55476,55476,55476,55476,55476,55476,55476,55476,55476,55476,55476,55476,55476,55476,55476,55476,55476,55476,55476,55476,55476,55476,55476,55476,55476,55476,55476,55476,55476,55476,55476,55476,55476,55476,55476,55476,55476,55476,55476,55476,55476,55476,55476,55476,55476,55476
1993-11-01,54345,54345,54345,54345,54345,54345,54345,54345,54345,54345,54345,54345,54345,54345,54345,54345,54345,54345,54345,54345,54345,54345,54345,54345,54345,54345,54345,54345,54345,54345,54345,54345,54345,54345,54345,54345,54345,54345,54345,54345,54345,54345,54345,54345,54345,54345,54345,54345,54345,54345,54345,54345,54345,54345,54345,54345,54345,54345,54345,54345,54345,54345,54345,54345,54345,54345,54345,54345,54345,54345,54345,54345,54345,54345,54345,54345,54345,54345,54345,54345,54345,54345,54345,54345,54345,54345,54345,54345,54345,54345,54345,54345,54345,54345,54345,54345,54345,54345,54345,54345,54345,54345,54345,54345,54345,54345,54345,54345,54345,54345,54345,54345,54345,54345,54345,54345,54345,54345,54345,54345,54345,54345,54345,54345,54345,54345,54345,54345,54345,54345,54345,54345,54345,54345,54345,54345,54345,54345,54345,54345,54345,54345,54345,54345,54345,54345,54345,54345,54345,54345,54345,54345,54345,54345,54345,54345,54345,54345,54345,54345,54345,54345,54345,54345,54345,54345,54345,54345,54345,54345,54345,54345,54345,54345,54345,54345,54345,54345,54345,54345,54345,54345,54345,54345,54345,54345,54345,54345,54345,54345,54345,54345
1993-12-01,55552,55552,55552,55552,55552,55552,55552,55552,55552,55552,55552,55552,55552,55552,55552,55552,55552,55552,55552,55552,55552,55552,55552,55552,55552,55552,55552,55552,55552,55552,55552,55552,55552,55552,55552,55552,55552,55552,55552,55552,55552,55552,55552,55552,55552,55552,55552,55552,55552,55552,55552,55552,55552,55552,55552,55552,55552,55552,55552,55552,55552,55552,55552,55552,55552,55552,55552,55552,55552,55552,55552,55552,55552,55552,55552,55552,55552,55552,55552,55552,55552,55552,55552,55552,55552,55552,55552,55552,55552,55552,55552,55552,55552,55552,55552,55552,55552,55552,55552,55552,55552,55552,55552,55552,55552,55552,55552,55552,55552,55552,55552,55552,55552,55552,55552,55552,55552,55552,55552,55552,55552,55552,55552,55552,55552,55552,55552,55552,55552,55552,55552,55552,55552,55552,55552,55552,55552,55552,55552,55552,55552,55552,55552,55552,55552,55552,55552,55552,55552,55552,55552,55552,55552,55552,55552,55552,55552,55552,55552,55552,55552,55552,55552,55552,55552,55552,55552,55552,55552,55552,55552,55552,55552,55552,55552,55552,55552,55552,55552,55552,55552,55552,55552,55552,55552,55552,55552,55552,55552,55552,55552,55552
1994-01-01,55159,55159,55159,55159,55159,55159,55159,55159,55159,55159,55159,55159,55159,55159,55159,55159,55159,55159,55159,55159,55159,55159,55159,55159,55159,55159,55159,55159,55159,55159,55159,55159,55159,55159,55159,55159,55159,55159,55159,55159,55159,55159,55159,55159,55159,55159,55159,55159,55159,55159,55159,55159,55159,55159,55159,55159,55159,55159,55159,55159,55159,55159,55159,55159,55159,55159,55159,55159,55159,55159,55159,55159,55159,55159,55159,55159,55159,55159,55159,55159,55159,55159,55159,55159,55159,55159,55159,55159,55159,55159,55159,55159,55159,55159,55159,55159,55159,55159,55159,55159,55159,55159,55159,55159,55159,55159,55159,55159,55159,55159,55159,55159,55159,55159,55159,55159,55159,55159,55159,55159,55159,55159,55159,55159,55159,55159,55159,55159,55159,55159,55159,55159,55159,55159,55159,55159,55159,55159,55159,55159,55159,55159,55159,55159,55159,55159,55159,55159,55159,55159,55159,55159,55159,55159,55159,55159,55159,55159,55159,55159,55159,55159,55159,55159,55159,55159,55159,55159,55159,55159,55159,55159,55159,55159,55159,55159,55159,55159,55159,55159,55159,55159,55159,55159,55159,55159,55159,55159,55159,55159,55159,55159
1994-02-01,53729,53729,53729,53729,53729,53729,53729,53729,53729,53729,53729,53729,53729,53729,53729,53729,53729,53729,53729,53729,53729,53729,53729,53729,53729,53729,53729,53729,53729,53729,53729,53729,53729,53729,53729,53729,53729,53729,53729,53729,53729,53729,53729,53729,53729,53729,53729,53729,53729,53729,53729,53729,53729,53729,53729,53729,53729,53729,53729,53729,53729,53729,53729,53729,53729,53729,53729,53729,53729,53729,53729,53729,53729,53729,53729,53729,53729,53729,53729,53729,53729,53729,53729,53729,53729,53729,53729,53729,53729,53729,53729,53729,53729,53729,53729,53729,53729,53729,53729,53729,53729,53729,53729,53729,53729,53729,53729,53729,53729,53729,53729,53729,53729,53729,53729,53729,53729,53729,53729,53729,53729,53729,53729,53729,53729,53729,53729,53729,53729,53729,53729,53729,53729,53729,53729,53729,53729,53729,53729,53729,53729,53729,53729,53729,53729,53729,53729,53729,53729,53729,53729,53729,53729,53729,53729,53729,53729,53729,53729,53729,53729,53729,53729,53729,53729,53729,53729,53729,53729,53729,53729,53729,53729,53729,53729,53729,53729,53729,53729,53729,53729,53729,53729,53729,53729,53729,53729,53729,53729,53729,53729,53729
1994-03-01,58307,58307,58307,58307,58307,58307,58307,58307,58307,58307,58307,58307,58307,58307,58307,58307,58307,58307,58307,58307,58307,58307,58307,58307,58307,58307,58307,58307,58307,58307,58307,58307,58307,58307,58307,58307,58307,58307,58307,58307,58307,58307,58307,58307,58307,58307,58307,58307,58307,58307,58307,58307,58307,58307,58307,58307,58307,58307,58307,58307,58307,58307,58307,58307,58307,58307,58307,58307,58307,58307,58307,58307,58307,58307,58307,58307,58307,58307,58307,58307,58307,58307,58307,58307,58307,58307,58307,58307,58307,58307,58307,58307,58307,58307,58307,58307,58307,58307,58307,58307,58307,58307,58307,58307,58307,58307,58307,58307,58307,58307,58307,58307,58307,58307,58307,58307,58307,58307,58307,58307,58307,58307,58307,58307,58307,58307,58307,58307,58307,58307,58307,58307,58307,58307,58307,58307,58307,58307,58307,58307,58307,58307,58307,58307,58307,58307,58307,58307,58307,58307,58307,58307,58307,58307,58307,58307,58307,58307,58307,58307,58307,58307,58307,58307,58307,58307,58307,58307,58307,58307,58307,58307,58307,58307,58307,58307,58307,58307,58307,58307,58307,58307,58307,58307,58307,58307,58307,58307,58307,58307,58307,58307
1994-04-01,56436,56436,56436,56436,56436,56436,56436,56436,56436,56436,56436,56436,56436,56436,56436,56436,56436,56436,56436,56436,56436,56436,56436,56436,56436,56436,56436,56436,56436,56436,56436,56436,56436,56436,56436,56436,56436,56436,56436,56436,56436,56436,56436,56436,56436,56436,56436,56436,56436,56436,56436,56436,56436,56436,56436,56436,56436,56436,56436,56436,56436,56436,56436,56436,56436,56436,56436,56436,56436,56436,56436,56436,56436,56436,56436,56436,56436,56436,56436,56436,56436,56436,56436,56436,56436,56436,56436,56436,56436,56436,56436,56436,56436,56436,56436,56436,56436,56436,56436,56436,56436,56436,56436,56436,56436,56436,56436,56436,56436,56436,56436,56436,56436,56436,56436,56436,56436,56436,56436,56436,56436,56436,56436,56436,56436,56436,56436,56436,56436,56436,56436,56436,56436,56436,56436,56436,56436,56436,56436,56436,56436,56436,56436,56436,56436,56436,56436,56436,56436,56436,56436,56436,56436,56436,56436,56436,56436,56436,56436,56436,56436,56436,56436,56436,56436,56436,56436,56436,56436,56436,56436,56436,56436,56436,56436,56436,56436,56436,56436,56436,56436,56436,56436,56436,56436,56436,56436,56436,56436,56436,56436,56436
1994-05-01,57342,57342,57342,57342,57342,57342,57342,57342,57342,57342,57342,57342,57342,57342,57342,57342,57342,57342,57342,57342,57342,57342,57342,57342,57342,57342,57342,57342,57342,57342,57342,57342,57342,57342,57342,57342,57342,57342,57342,57342,57342,57342,57342,57342,57342,57342,57342,57342,57342,57342,57342,57342,57342,57342,57342,57342,57342,57342,57342,57342,57342,57342,57342,57342,57342,57342,57342,57342,57342,57342,57342,57342,57342,57342,57342,57342,57342,57342,57342,57342,57342,57342,57342,57342,57342,57342,57342,57342,57342,57342,57342,57342,57342,57342,57342,57342,57342,57342,57342,57342,57342,57342,57342,57342,57342,57342,57342,57342,57342,57342,57342,57342,57342,57342,57342,57342,57342,57342,57342,57342,57342,57342,57342,57342,57342,57342,57342,57342,57342,57342,57342,57342,57342,57342,57342,57342,57342,57342,57342,57342,57342,57342,57342,57342,57342,57342,57342,57342,57342,57342,57342,57342,57342,57342,57342,57342,57342,57342,57342,57342,57342,57342,57342,57342,57342,57342,57342,57342,57342,57342,57342,57342,57342,57342,57342,57342,57342,57342,57342,57342,57342,57342,57342,57342,57342,57342,57342,57342,57342,57342,57342,57342
1994-06-01,58451,58451,58451,58451,58451,58451,58451,58451,58451,58451,58451,58451,58451,58451,58451,58451,58451,58451,58451,58451,58451,58451,58451,58451,58451,58451,58451,58451,58451,58451,58451,58451,58451,58451,58451,58451,58451,58451,58451,58451,58451,58451,58451,58451,58451,58451,58451,58451,58451,58451,58451,58451,58451,58451,58451,58451,58451,58451,58451,58451,58451,58451,58451,58451,58451,58451,58451,58451,58451,58451,58451,58451,58451,58451,58451,58451,58451,58451,58451,58451,58451,58451,58451,58451,58451,58451,58451,58451,58451,58451,58451,58451,58451,58451,58451,58451,58451,58451,58451,58451,58451,58451,58451,58451,58451,58451,58451,58451,58451,58451,58451,58451,58451,58451,58451,58451,58451,58451,58451,58451,58451,58451,58451,58451,58451,58451,58451,58451,58451,58451,58451,58451,58451,58451,58451,58451,58451,58451,58451,58451,58451,58451,58451,58451,58451,58451,58451,58451,58451,58451,58451,58451,58451,58451,58451,58451,58451,58451,58451,58451,58451,58451,58451,58451,58451,58451,58451,58451,58451,58451,58451,58451,58451,58451,58451,58451,58451,58451,58451,58451,58451,58451,58451,58451,58451,58451,58451,58451,58451,58451,58451,58451
1994-07-01,58492,58492,58492,58492,58492,58492,58492,58492,58492,58492,58492,58492,58492,58492,58492,58492,58492,58492,58492,58492,58492,58492,58492,58492,58492,58492,58492,58492,58492,58492,58492,58492,58492,58492,58492,58492,58492,58492,58492,58492,58492,58492,58492,58492,58492,58492,58492,58492,58492,58492,58492,58492,58492,58492,58492,58492,58492,58492,58492,58492,58492,58492,58492,58492,58492,58492,58492,58492,58492,58492,58492,58492,58492,58492,58492,58492,58492,58492,58492,58492,58492,58492,58492,58492,58492,58492,58492,58492,58492,58492,58492,58492,58492,58492,58492,58492,58492,58492,58492,58492,58492,58492,58492,58492,58492,58492,58492,58492,58492,58492,58492,58492,58492,58492,58492,58492,58492,58492,58492,58492,58492,58492,58492,58492,58492,58492,58492,58492,58492,58492,58492,58492,58492,58492,58492,58492,58492,58492,58492,58492,58492,58492,58492,58492,58492,58492,58492,58492,58492,58492,58492,58492,58492,58492,58492,58492,58492,58492,58492,58492,58492,58492,58492,58492,58492,58492,58492,58492,58492,58492,58492,58492,58492,58492,58492,58492,58492,58492,58492,58492,58492,58492,58492,58492,58492,58492,58492,58492,58492,58492,58492,58492
1994-08-01,60407,60407,60407,60407,60407,60407,60407,60407,60407,60407,60407,60407,60407,60407,60407,60407,60407,60407,60407,60407,60407,60407,60407,60407,60407,60407,60407,60407,60407,60407,60407,60407,60407,60407,60407,60407,60407,60407,60407,60407,60407,60407,60407,60407,60407,60407,60407,60407,60407,60407,60407,60407,60407,60407,60407,60407,60407,60407,60407,60407,60407,60407,60407,60407,60407,60407,60407,60407,60407,60407,60407,60407,60407,60407,60407,60407,60407,60407,60407,60407,60407,60407,60407,60407,60407,60407,60407,60407,60407,60407,60407,60407,60407,60407,60407,60407,60407,60407,60407,60407,60407,60407,60407,60407,60407,60407,60407,60407,60407,60407,60407,60407,60407,60407,60407,60407,60407,60407,60407,60407,60407,60407,60407,60407,60407,60407,60407,60407,60407,60407,60407,60407,60407,60407,60407,60407,60407,60407,60407,60407,60407,60407,60407,60407,60407,60407,60407,60407,60407,60407,60407,60407,60407,60407,60407,60407,60407,60407,60407,60407,60407,60407,60407,60407,60407,60407,60407,60407,60407,60407,60407,60407,60407,60407,60407,60407,60407,60407,60407,60407,60407,60407,60407,60407,60407,60407,60407,60407,60407,60407,60407,60407
1994-09-01,60715,60715,60715,60715,60715,60715,60715,60715,60715,60715,60715,60715,60715,60715,60715,60715,60715,60715,60715,60715,60715,60715,60715,60715,60715,60715,60715,60715,60715,60715,60715,60715,60715,60715,60715,60715,60715,60715,60715,60715,60715,60715,60715,60715,60715,60715,60715,60715,60715,60715,60715,60715,60715,60715,60715,60715,60715,60715,60715,60715,60715,60715,60715,60715,60715,60715,60715,60715,60715,60715,60715,60715,60715,60715,60715,60715,60715,60715,60715,60715,60715,60715,60715,60715,60715,60715,60715,60715,60715,60715,60715,60715,60715,60715,60715,60715,60715,60715,60715,60715,60715,60715,60715,60715,60715,60715,60715,60715,60715,60715,60715,60715,60715,60715,60715,60715,60715,60715,60715,60715,60715,60715,60715,60715,60715,60715,60715,60715,60715,60715,60715,60715,60715,60715,60715,60715,60715,60715,60715,60715,60715,60715,60715,60715,60715,60715,60715,60715,60715,60715,60715,60715,60715,60715,60715,60715,60715,60715,60715,60715,60715,60715,60715,60715,60715,60715,60715,60715,60715,60715,60715,60715,60715,60715,60715,60715,60715,60715,60715,60715,60715,60715,60715,60715,60715,60715,60715,60715,60715,60715,60715,60715
1994-10-01,59861,59861,59861,59861,59861,59861,59861,59861,59861,59861,59861,59861,59861,59861,59861,59861,59861,59861,59861,59861,59861,59861,59861,59861,59861,59861,59861,59861,59861,59861,59861,59861,59861,59861,59861,59861,59861,59861,59861,59861,59861,59861,59861,59861,59861,59861,59861,59861,59861,59861,59861,59861,59861,59861,59861,59861,59861,59861,59861,59861,59861,59861,59861,59861,59861,59861,59861,59861,59861,59861,59861,59861,59861,59861,59861,59861,59861,59861,59861,59861,59861,59861,59861,59861,59861,59861,59861,59861,59861,59861,59861,59861,59861,59861,59861,59861,59861,59861,59861,59861,59861,59861,59861,59861,59861,59861,59861,59861,59861,59861,59861,59861,59861,59861,59861,59861,59861,59861,59861,59861,59861,59861,59861,59861,59861,59861,59861,59861,59861,59861,59861,59861,59861,59861,59861,59861,59861,59861,59861,59861,59861,59861,59861,59861,59861,59861,59861,59861,59861,59861,59861,59861,59861,59861,59861,59861,59861,59861,59861,59861,59861,59861,59861,59861,59861,59861,59861,59861,59861,59861,59861,59861,59861,59861,59861,59861,59861,59861,59861,59861,59861,59861,59861,59861,59861,59861,59861,59861,59861,59861,59861,59861
1994-11-01,61532,61532,61532,61532,61532,61532,61532,61532,61532,61532,61532,61532,61532,61532,61532,61532,61532,61532,61532,61532,61532,61532,61532,61532,61532,61532,61532,61532,61532,61532,61532,61532,61532,61532,61532,61532,61532,61532,61532,61532,61532,61532,61532,61532,61532,61532,61532,61532,61532,61532,61532,61532,61532,61532,61532,61532,61532,61532,61532,61532,61532,61532,61532,61532,61532,61532,61532,61532,61532,61532,61532,61532,61532,61532,61532,61532,61532,61532,61532,61532,61532,61532,61532,61532,61532,61532,61532,61532,61532,61532,61532,61532,61532,61532,61532,61532,61532,61532,61532,61532,61532,61532,61532,61532,61532,61532,61532,61532,61532,61532,61532,61532,61532,61532,61532,61532,61532,61532,61532,61532,61532,61532,61532,61532,61532,61532,61532,61532,61532,61532,61532,61532,61532,61532,61532,61532,61532,61532,61532,61532,61532,61532,61532,61532,61532,61532,61532,61532,61532,61532,61532,61532,61532,61532,61532,61532,61532,61532,61532,61532,61532,61532,61532,61532,61532,61532,61532,61532,61532,61532,61532,61532,61532,61532,61532,61532,61532,61532,61532,61532,61532,61532,61532,61532,61532,61532,61532,61532,61532,61532,61532,61532
1994-12-01,62825,62825,62825,62825,62825,62825,62825,62825,62825,62825,62825,62825,62825,62825,62825,62825,62825,62825,62825,62825,62825,62825,62825,62825,62825,62825,62825,62825,62825,62825,62825,62825,62825,62825,62825,62825,62825,62825,62825,62825,62825,62825,62825,62825,62825,62825,62825,62825,62825,62825,62825,62825,62825,62825,62825,62825,62825,62825,62825,62825,62825,62825,62825,62825,62825,62825,62825,62825,62825,62825,62825,62825,62825,62825,62825,62825,62825,62825,62825,62825,62825,62825,62825,62825,62825,62825,62825,62825,62825,62825,62825,62825,62825,62825,62825,62825,62825,62825,62825,62825,62825,62825,62825,62825,62825,62825,62825,62825,62825,62825,62825,62825,62825,62825,62825,62825,62825,62825,62825,62825,62825,62825,62825,62825,62825,62825,62825,62825,62825,62825,62825,62825,62825,62825,62825,62825,62825,62825,62825,62825,62825,62825,62825,62825,62825,62825,62825,62825,62825,62825,62825,62825,62825,62825,62825,62825,62825,62825,62825,62825,62825,62825,62825,62825,62825,62825,62825,62825,62825,62825,62825,62825,62825,62825,62825,62825,62825,62825,62825,62825,62825,62825,62825,62825,62825,62825,62825,62825,62825,62825,62825,62825
